Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”
Rutherford,Rutherford,Rutherford,,2,,1,,1,,-,,-,-,,,4,,,-,,97,,,97
Scott,,,,-,,5,,1 8,,16,,5,1,,,45,,"17,828","17,828","12,341","12,341",,33.164.,33.164.
Sequatchie,Sequatchie,Sequatchie,,5,,4,1,4,,-,,2,-,,,25,,"-3,420","-3,420",2 PO99,2 PO99,,"5,519","5,519"
Sevier,Sevier,,,6,,6,1,1,,5,,3,-,,,31,,"5,669","5,669","3,700","3,700",,"9,369","9,369"
Shelby,Shelby,,,-,,5,,5,,2,,4,5,,,21,,1L7391,1L7391,"51,339","51,339",,"65,730","65,730"
Smith,,,,,,,,5,,-,,-,-,,,15,,,,,,,,
,,,,4,,6,,,,,,,,,,,,127,127,643,643,,770,770
Stewart,Stewart,,,9,,6,1,0,,5,,1,-,,,31,,,,"6,488","6,488",,"6,488","6,488"
Sullivan,Sullivan,,,14,,9,,10,,-,,-,1,,,3 4,,714,714,"8,635","8,635",,"9 ,349","9 ,349"
Sumner,Sumner,,,2,,,,14,,3,,-.,-.,,,22,,,,,,,,
,,,,,,3,,,,,,,,,,,,209,209,"3,677","3,677",,"3,886","3,886"
Tipton,Tipton,,,4,,4,,5,-,.,,-,-,,,13,,,86,518,518,,60 4,60 4
Trousdale,Trousdale,,,-,,1,,3,,-,,-,-,,,4,,321,321,,,,459,459
Unicoi,Unicoi,,,5,,3,1,6,,-,,-,-.,,,24,,"1,175","1,175","1,913385","1,913385",,3>llO,3>llO
Union,,,,7,,4,,6,,-,,-,-,,,17,,472,472,355,355,,827,827
Van,Buren,,,-,,1,,4,,1,,-,-,,,h,,"1,619","1,619",592,592,,"2,211","2,211"
Warren,Warren,,,5,,4,,7,,3,,6,-,,,25,,490,490,"11,447","11,447",,"11,937","11,937"
Wa sh-hington,Wa sh-hington,Wa sh-hington,-,9,1,0,,18,,3,,-,,,,40,,"1,856","1,856","2,772","2,772",,"4,628","4,628"
iAayne,,,,6,10,10,,28,,8,,10,-,,,62,,"8,782","8,782","13 ,798","13 ,798",,"22,580","22,580"
Weakley,Weakley,,,3,,2,,10,,2,,1,,,,18,,312,312,"3,823","3,823",,4p135,4p135
White,,,,2,7,,1,2,,6,,2,-,,,29,,45L,45L,"9,579","9,579",,"10,033","10,033"
Williamson,Williamson,Williamson,,3,,3,,3,,2,,-,,,,11,,,6,"1,972","1,972",,17978,17978
Wilson,Wilson,,,5,,5,,7,,1,,-,-.,,,18,,40 2,40 2,843,843,,"1,245","1,245"
Total,,,,499,"555 1,016","555 1,016","555 1,016","555 1,016",280,280,155,155,13,"2,518","2,518","2,518","260,353","260,353","260,353","486,872","486,872","747,225","747,225","747,225"
