Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”
Campbell,Campbell,2,,6,,-,,-,,-,-,8,,,-,,l o 6,l o 6,,,106
Carlisle,Carlisle,,,,,6,,-,,-,-,12,,,,,,,,,
,,4,,2,,,,,,,,,,,40,,"1,414","1,414",,"1,454","1,454"
Carter,,8,,9,1,0,,1,,-,-,28,,,197,,"1,925","1,925",,"2,122","2,122"
Casey,,9,,20,,30,,3,,-,-,62,,,72,,"6,841","6,841",,"6,913","6,913"
Christian,Christian,5,1,0,,6,,5,,1,-,27,,,10,,"5,699","5,699",,"5,709","5,709"
Clark,,,,,,,,-,,-,-,8,,,212,,,,,,
,,1,,3,,4,,,,,,,,,,,829,829,,"1,041","1,041"
Clay,,4,1,2,1,0,,1,,2,-,29,,,245,,"4,070","4,070",,"4,315","4,315"
Clinton,,2,,4,1,2,,1,,-,-,19,,,201,,"2,676","2,676",,"2,877","2,877"
Crittenden,Crittenden,5,,4,,4,,1,,-,-,14,,,-,,"1,604","1,604",,"1,604","1,604"
Cumberland,Cumberland,4,,7,,10,,1,,-,-,22,,,520,,"2,048","2,048",,"2,568","2,568"
Daviess,,-,,2,,3,,1,,2,-,8,,,-,,"3,725","3,725",,"3,725","3,725"
Edmonson,Edmonson,3,,1,,8,,-,,-,-,12,,,53,,716,716,,,769
Elliott,,7,,5,1,3,,-,,-,-,25,,,300,,"1,497","1,497",,"1,797","1,797"
Estill,,1OU,1OU,1OU,,9,,2,,-,-,3 4,,"1,075","1,075",,"1,590","1,590",,"2,665","2,665"
Fleming,,4,,8,,3,,-,,-,-,15,,,=,,560,560,,,560
~loyd,,11,,7,,15,,3,,"""-",-,3 6,,,6,,"4,954","4,954",,"4,960","4,960"
Franklin,Franklin,3,,4,,1,,-,,-,-,8,,,1,,122,122,,,123
Fulton,,-,,5,,1,,1,,-,1,8,,"2,642","2,642",,"7,032","7,032",,"9,674","9,674"
Garrard,,-,,5,,3,,-,,-,-,8,,,45,,183,183,,,228
Grant,,1,,5,,1,,-,,-,-,7,,,-,,159,159,,,159
Graves,,4,,7,,7,,-,,-,-,18,,,25,,2 3375,2 3375,,"2,400","2,400"
Grayson,,8,,9,,4,,-,,-,-,21,,,-,,712,712,,,712
Green,,4,,9,,8,,1,,-,-,22,,,17,,"1,665","1,665",,"1,682","1,682"
Bath,and Nicholas,and Nicholas,combined,combined,combined,combined,t o,avoid,avoid,avoid,disclosing,data,data,o f,individual m i l l s .,individual m i l l s .,individual m i l l s .,individual m i l l s .,individual m i l l s .,,
,,,,,,,,,,,-16-,,,,,,,,,,
