Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”
Shenandoah,Shenandoah,,11,22,22,,31,,3,.,,,,,67,,li4QL,li4QL,li4QL,li4QL,,"6,208",,"7,612","7,612",
s m h,,,9,5,,1,3,,2,-,,,,,28,,1.OLL,1.OLL,1.OLL,1.OLL,,2,614,"3,658","3,658",
Southampton,Southampton,Southampton,4,,,3,,8,,%,,,-,,27,,"13 ,;1L6","13 ,;1L6","13 ,;1L6","13 ,;1L6",,"3 
    ","3 
    ","i6,321","i6,321",
Spotsylvania,Spotsylvania,Spotsylvania,7,,5,,20,,8,10,,-,-,,40,,19.2'14,19.2'14,19.2'14,19.2'14,,6 477,,25 *691,25 *691,
S t a f f ord,S t a f f ord,,3,,3-,,6,,2,1,,,,,15,,1:958,1:958,1:958,1:958,,"1,513",,3 2471,3 2471,
s u m,,,3,,1,,8,,1,4,,",",~.,~.,1'7,,"7,749","7,749","7,749","7,749",,"1,078",,"8,827","8,827",
sus sex,,,5,,5,,6,,5,5,,1,1,,27,,22 -853,22 -853,22 -853,22 -853,,"1,193",,"24,046","24,046",
Tazewell,Tazewell,,7,,3,,5,,1,5,,,,,2i,,"2 ,430","2 ,430","2 ,430","2 ,430",1 4 9995,1 4 9995,,1 7 :425,1 7 :425,
,,,5,,4,,5,,1,-,,,,,15,,,,578,578,,,,"1,961","1,961",
WWaarrrweinc&',WWaarrrweinc&',,4,,2,,3,1,1,1,1,,.,,12,,9 0429,9 0429,9 0429,9 0429,,,84,"9,513","9,513",
Washington,Washington,,12,1 8,1 8,,11,,1,2,,-,,,L4,,,872,872,872,,"7,951",,"8,823","8,823",
Westmoreland,Westmoreland,Westmoreland,6,,3,,9,,4,1,,,,,23,,3 :84L+,3 :84L+,3 :84L+,3 :84L+,,"2,113",,"5,957","5,957",
Wise,,,8,4,,1,3,,2,1,,,,,28,,,,592,592,,4-804,,5 1.396,5 1.396,
Wythe,,,6,,-,,,,-,-,,-,-,,15,,,,,,,,,,,
,,,,,,,9,,,,,,,,,,,39 3,39 3,39 3,,,671,1?064,1?064,
York,,,2,,,,2,,3,1,,--,,,8,,"2,757","2,757","2,757","2,757",,"1,334",,"4,091","4,091",
Total,,,657,613 1204,613 1204,613 1204,613 1204,",454",",454",328,,9,9,,"3,265",.,"813,656","813,656","813,656","813,656","3-97,942","3-97,942",,"1,211 *598","1,211 *598",
,,,,,,,,,,,,,,,,,,,,,,,~,~p,~p,~p
.u,Warwick and,Warwick and,Elizabeth,Elizabeth,Elizabeth,City,City,combked,combked,combked,t o,av3Ld,av3Ld,av3Ld,U ~ s c i o s i n gdaza,U ~ s c i o s i n gdaza,U ~ s c i o s i n gdaza,U ~ s c i o s i n gdaza,U ~ s c i o s i n gdaza,U ~ s c i o s i n gdaza,o f,:nd?ddual,:nd?ddual,m i l l s .,m i l l s .,
