Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”
Buckingham,Buckingham,Buckingham,,"299,235","8,224","8,224","123,535","123,535","145,192",,"18,769","3,515","3,515"
Campbrl l,Campbrl l,,,"208,415","3,714","3,714","62,0i6","62,0i6","101,834",,"40,851",,--
Caroline,Caroline,,,"262,658","19,337","19,337","97,300","97,300","122,693",,"13,353","9,975","9,975"
Carroll,Carroll,,,"162,551","13,258","13,258","33,150","33,150","85,205",,"30,938",,--
Charles,Charles,City,,"85,984","13,381","13,381","34,848","34,848","35,262",,2.493,,--
Charlotte,Charlotte,Charlotte,,"214,857","14,658","14,658","70,646","70,646","106,393",,"23,160",,--
Chesapeake,Chesapeake,Chesapeake,,"73,545","8,213","8,213","27,877","27,877","31,979",,"2,738","2,738","2,738"
Chrrtsrf leld,Chrrtsrf leld,Chrrtsrf leld,,"190,035","10,913","10,913","98,621","98,621","75,045",,"5,456",,--
Clarke,,,,"39,279",,--,"8,668","8,668","21,938",,"4,339","4,334","4,334"
Craig,,,,"173,085","15,032","15,032","50,439","50,439","76,562",,"31,052",,--
Culpeper,Culpeper,,,"106,997","9,525","9,525","35,269","35,269","49,503",,"9,525","3,175","3,175"
Cumberland,Cumberland,Cumberland,,"135,560","6,590","6,590","79,794","79,794","38,674",,"7,825","2,677","2,677"
Dickensan,Dickensan,Dickensan,,"182,405",,--,"32,792","32,792","96,h91",,"53,119",,-.
Dinwiddie,Dinwiddie,Dinwiddie,,"239,104","5,716","5,716","103,571","103,571","102,387",,"21,761",5.669,5.669
Essex,,,,"95,625","3,623","3,623","41,013","41,013","41,285",,"6,469","3,235","3,235"
Fairfax,Fairfax,,,"78,855",,--,"17,399","17,399","44,158",,"17,298",,-.
Fauquier,Fauquier,,,"180,056","3,475","3,475","52,647","52,647","81,969",,"34,971","6,994","6,994"
Floyd,,,,"131,487","13,752","13,752","44,561","44,561","63,964",,"9,190",,--
F luvanna,F luvanna,,,"132,590",,--,"64,475","64,475","45,399","22,716","22,716",,--
Franklin,Franklin,,,"282,572","11,366","11,366","102,234","102,234","150,029",,"15,155","3,788","3,788"
Frederick,Frederick,Frederick,,"130,606",,-,"31,596","31,596","71,188",,"27,822",,--
Gilrs,,,,"165,781",,--,"51,914","51,914","81,044",,"28,110","4,713","4,713"
Gloucester,Gloucester,Gloucester,,"99,488","2,863","2,863","61,780","61,780","32,086",,"2,759",,--
Goochiand,Goochiand,Goochiand,,"123,054","9,534","9,534","45,539","45,539","64,803",,"3,178",,--
Grnyson,Grnyson,,,"149,318","4,306","4,306","28,i90","28,i90","75,060",,"37,046","4,116","4,116"
Grerne,,,,"49,387","3,516","3,516","17,003","17,003","25,467",,"3,401",,-.
Greensville,Greensville,Greensville,,"139,144","7,176","7,176","50,985","50,985","47,286","30,999","30,999","2,498","2,498"
Halifax,Halifax,,,"347,578","25,562","25,562","125,477","125,477","147,677","45,211","45,211","3,651","3,651"
Hampton,Hampton,,,"6,334",,105,,49,"6,180",,--,,-.
Hanover,Hanover,,,"184,368","10,699","10,699","73,933","73,933","77,743",,"19,126","2,867","2,867"
Henrico,Henrico,,,"66,721","2,290","2,290","29,180","29,180","32,355",,"2,896",,--
Henry,,,,"175,769","16,894","16,894","67,267","67,267","70,843",,"20,765",,--
Highland,Highland,,,"194,889","10,069","10,069","63,380","63,380","69,692",,"51,748",,--
Isle,of,Wighc,,"117,326","8,496","8,496","47,036","47,036","49,865",,"11,329",,--
lames,City,City,,"59,954","4,997","4,997","22,378","22,378",25.528,,"7,051",,--
King,and,Queen,,"153,245","18,318","18,318","70,159","70,159","46,786",,"14,236","3,746","3,746"
~i~~,~ e n l - g p,~ e n l - g p,,"70,322","2,595","2,595","25,960","25,960","28,579",,"12,979",,209
King,William,William,,"113,537",,--,"67,787","67,787","28,819",,"14,512","2,419","2,419"
,,,,,,,,,,,Continued,Continued,Continued
