,regeneration,regeneration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,plantation,plantation,plantation,plantation,plantation,plantation,,pine,pine,pine,,,,pine,pine,,,hardwood,hardwood,hardwood,hardwood,hardwood,,hardwood,hardwood,hardwood
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,c,r,e,s,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,-,-,-,-,,,,,,,,,,,,
Artificial,regeneration,regeneration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
following harvest,following harvest,following harvest,,"56,283","56,283","56,283",,,"36,504","36,504","36,504","36,504",,,,,--,,,"14,128","14,128","14,128","14,128",,,"4,964","4,964","4,964","4,964",,,,687
Natural,regeneration,regeneration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
following,harvest,harvest,,"66,229","66,229","66,229",,,,,--,--,,,"5,458","5,458","5,458",,,"11,861","11,861","11,861","11,861",,,"47,140","47,140","47,140","47,140",,"1,770","1,770","1,770"
Other,artificial,regen-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eration,on,forest,,"14,934","14,934","14,934",,,"9,305","9,305","9,305","9,305",,,,,--,,,,"3,784","3,784","3,784",,,"1,535","1,535","1,535","1,535",,,,310
land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,natural,regen-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eration,on,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land,,,,"10,426","10,426","10,426",,,,,--,--,,,"2,126","2,126","2,126",,,,,701,701,,,"7,341","7,341","7,341","7,341",,,,258
Artificial,regeneration,regeneration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
on,nonforest,land,,"2,386","2,386","2,386",,,"2,386","2,386","2,386","2,386",,,,,--,,,,,--,--,,,,--,--,,,,,--
Natural,reversion,of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nonforest,land,,,"22,245","22,245","22,245",,,,560,560,560,,,"9,205","9,205","9,205",,,,"2,100","2,100","2,100",,,"9,979","9,979","9,979","9,979",,,401,401
Total,,,"172,503","172,503","172,503","172,503",,". 48,755",". 48,755",". 48,755",". 48,755",". 48,755",,,"16,789","16,789","16,789",,,"32,574","32,574","32,574","32,574",,,"70,959","70,959","70,959","70,959",,"3,426","3,426","3,426"
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Classification,after,regeneration.,regeneration.,regeneration.,regeneration.,regeneration.,regeneration.,,,,,,,,,,,,,,,,,,,,,,,,,
