,year,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2.9,2.9,,,4.9,4.9,,,,6.9,8.9,,10.9,10.9,,12.9,12.9,,,14.9,14.9,,,larger,larger,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
,,,-,-,-,-,- -,-,-,-,-,- -,-,-,-,-,-,Thousand,t r e e s,-,-,-,-,- -,-,-,-,-,-,-,-,-,-,-
Yellow,p i n e,p i n e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1977,1977,"1,897,048","1,897,048","1,897,048","1,897,048","1,897,048",,"765,514","765,514","765,514",,"492,583","492,583","492,583",,"293,963","293,963","173,809","90,819","90,819","90,819",,"45,938","45,938",,"20,305","20,305","20,305",,,"14,117","14,117",
,1986,1986,"1,652,962","1,652,962","1,652,962","1,652,962","1,652,962",,"580,674","580,674","580,674",,"415,276","415,276","415,276",,"302,211","302,211","184,678","91,897","91,897","91,897",,"43,654","43,654",,"20,031","20,031","20,031",,,"14,541","14,541",
Change,Change,,"-244,086","-244,086","-244,086","-244,086","-244,086","-184,840","-184,840","-184,840","-184,840",,"-77,307","-77,307","-77,307",,,"+8,248","+10,869","+1,078","+1,078","+1,078",,"-2,284","-2,284",,,-274,-274,,,+424,+424,
O t h e r,softwood,softwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1977,,,"430,574","430,574","430,574","430,574","276,377","276,377","276,377","276,377",,"85,928","85,928","85,928",,,"31,662","15,215",,"8,320","8,320",,"5,085","5,085",,"3,653","3,653","3,653",,,"4,334","4,334",
,1986,1986,,"439,025","439,025","439,025","439,025","269,513","269,513","269,513","269,513",,"82,793","82,793","82,793",,,"38,883","19,021","11,359","11,359","11,359",,"5,747","5,747",,"4,476","4,476","4,476",,,"7,233","7,233",
Change,Change,,,"+8,451","+8,451","+8,451","+8,451",,"-6,864","-6,864","-6,864",,"-3,135","-3,135","-3,135",,"+7,221","+7,221","+3,806","~3,039","~3,039","~3,039","~3,039",+662,+662,+662,,+823,+823,+823,"+2,899","+2,899","+2,899",
Hardwood,Hardwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1977,1977,"10,366,017","10,366,017","10,366,017","10,366,017","10,366,017","6,812,549","6,812,549","6,812,549","6,812,549","1,786,610","1,786,610","1,786,610","1,786,610","1,786,610","736,746","736,746","4 1 5 , 5 5 8","254,622","254,622","254,622",,"152,336","152,336","152,336","92,839","92,839","92,839",,"116,757","116,757","116,757",
,1986,1986,"9,575,370","9,575,370","9,575,370","9,575,370","9,575,370","6,201,092","6,201,092","6,201,092","6,201,092","1,593,135","1,593,135","1,593,135","1,593,135",,"696,840","696,840","409,706","259,976","259,976","259,976",,"164,692","164,692","164,692","1 0 5 , 1 3 1","1 0 5 , 1 3 1","1 0 5 , 1 3 1","1 0 5 , 1 3 1","144,798","144,798","144,798",
Change,Change,,-792.647,-792.647,-792.647,-792.647,-792.647,-611.457,-611.457,-611.457,-611.457,-193.475,-193.475,-193.475,-193.475,,"-39,906","-39,906","- 5 , 8 5 2","+ 5 , 3 5 4","+ 5 , 3 5 4","+ 5 , 3 5 4","+ 1 2 , 3 5 6","+ 1 2 , 3 5 6","+ 1 2 , 3 5 6","+ 1 2 , 3 5 6","+ 1 2 , 2 9 2","+ 1 2 , 2 9 2","+ 1 2 , 2 9 2","+ 1 2 , 2 9 2","~28,041","~28,041","~28,041","~28,041"
