Softuood:,Softuood:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow,Yellow,pinesa,,,,"14,248,929","14,248,929","3,445,153","3,445,153","3,445,153","3,445,153","1,958,318","1,958,318",,"8,845.458","8,845.458",,,(b),"4,043,392","4,043,392","4,043,392","1,352,498","1,352,498","1,352,498",,,"583,932","583,932","583,932",,"2,106,962","2,106,962","2,106,962",,,,tb),
Eastein,Eastein,white,pineC,pineC,,"2,248,822","2,248,822",,"148,694","148,694","148,694","139,353","139,353",,"1,132,765","1,132,765",,"828,010","828,010","1,351,758","1,351,758",,"148,694","148,694","148,694",,,"67,588","67,588","67,588",,"540,703","540,703","540,703",,"594,773","594,773","594,773",
CypressC,CypressC,,,,,,"219,316",,"38,059","38,059","38,059","108,728","108,728","108,728","72,529","72,529",,,..,,"177,222","177,222","37,217","37,217","37,217",,,"86,839","86,839","86,839",,"53,166","53,166","53,166",,,,.-,.-
Spruce,Spruce,and,firC,,,,"11,845",,,.-,.-,,119,,,"7,225",,"i,50l","i,50l",,,..,,.-,.-,.-,,,,.-,.-,,-.,-.,-.,,,--,
Other,Other,e a s t e r n,~ofrwoodsc,~ofrwoodsc,~ofrwoodsc,,"756,871",,"49,764","49,764","49,764","42,650","42,650",,"367,550","367,550",,"296,907","296,907",,"469,330",,"49,764","49,764","49,764",,,"40,715","40,715","40,715",,"163,008","163,008","163,008",,"215,843","215,843","215,843",
,Total,,,,,"17,485,783","17,485,783","3,681,670","3,681,670","3,681,670","3,681,670","2,249,168","2,249,168","2,249,168","10,1+25,527","10,1+25,527","1,129,418","1,129,418","1,129,418","6,041,702","6,041,702","6,041,702","1,588,173","1,588,173","1,588,173",,,"779,074","779,074","779,074",,"2,863,839","2,863,839","2,863,839",,8,4,6,L
Select,Select,vhlte,and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,red,o a k s,,,,"11,954,704","11,954,704","2,175,466","2,175,466","2,175,466","2,175,466","2,852,297","2,852,297",,"6,685,911","6,685,911","2,240,010","2,240,010","2,240,010","8,115,124","8,115,124","8,115,124","2,175,466","2,175,466","2,175,466",,"2,226,264","2,226,264","2,226,264","2,226,264",,"2,663,971 1,049,423","2,663,971 1,049,423","2,663,971 1,049,423","2,663,971 1,049,423","2,663,971 1,049,423","2,663,971 1,049,423","2,663,971 1,049,423","2,663,971 1,049,423"
Ocher,Ocher,whire,and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,red,oaks,,,,"12,927,618","12,927,618","1,690,922","1,690,922","1,690,922","1,690,922","2,582,187","2,582,187",,"5,168,934","5,168,934","3,485,575","3,485,575","3,485,575","8,243,566","8,243,566",,"1,690,922","1,690,922","1,690,922","1,690,922","1,986,801","1,986,801","1,986,801","1,986,801",,"2,674,533 1,8.91,310","2,674,533 1,8.91,310","2,674,533 1,8.91,310","2,674,533 1,8.91,310","2,674,533 1,8.91,310","2,674,533 1,8.91,310","2,674,533 1,8.91,310","2,674,533 1,8.91,310"
Hickory,Hickory,,,,,"1,024,787","1,024,787",,"330,249","330,249","330,249","550,641","550,641",,"1,266,404","1,266,404",,"877,493","877,493","1,657,081","1,657,081","1,657,081","330,249","330,249","330,249",,,"381,856","381,856","381,856",,"592,130","592,130","592,130",,"352,846","352,846","352,846",
Yellav,Yellav,birch,,,,,"11,760",,"3,535","3,535","3,535","7,934","7,934",,"11,306","11,306",,"8,985","8,985",,"29,455","29,455",,"3,535","3,535",,,"7,658","7,658","7,658",,"10,015","10,015","10,015",,,"8,2111","8,2111",
Hard,maple,maple,,,,,"525,915",,"38,443","38,443","38,443","108,111","108,111",,"225,289","225,289",,"153,672","153,672",,"119,151","119,151","38,443","38,443","38,443",,,"83,051","83,051","83,051",,"108,874","108,874","108,874",,"88,783","88,783","88,783",
Sweetgum,Sweetgum,,,,,"2,072,928","2,072,928",,"316,557","316,557","316,557","470,536","470,536",,"1,046,677","1,046,677",,"239,158","239,158","1,042,594","1,042,594","1,042,594","116,557","116,557","116,557",,,"257,781","257,781","257,781",,"361,584","361,584","361,584",,"106,672","106,672","106,672",
"Ash,","walnut,","walnut,",and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,black,cherry,,,,"1,138,798","1,138,798",,"220,331","220,331","220,331","264,121","264,121",,"548,660","548,660",,"105,486","105,486",,"626,683",,"214,766","214,766","214,766",,,"159,787","159,787","159,787",,"180,722","180,722","180,722",,"71,408","71,408","71,408",
Yellow-poplar,Yellow-poplar,Yellow-poplar,,,,"10,305,407","10,305,407","2,110,387","2,110,387","2,110,387","2,110,387","2,038,877","2,038,877",,"3,826,295","3,826,295","2,329,848","2,329,848","2,329,848","6,591,087","6,591,087","6,591,087","2,110,387","2,110,387","2,110,387",,"1,062,978","1,062,978","1,062,978","1,062,978",,"2,026,431 1,391,291","2,026,431 1,391,291","2,026,431 1,391,291","2,026,431 1,391,291","2,026,431 1,391,291","2,026,431 1,391,291","2,026,431 1,391,291",
Ocher,Ocher,e a s t e r n,hardwoods,hardwoods,,"7,568,698","7,568,698",,"820,870","820,870","820,870","1,738,666","1,738,666",,"3,358,340","3,358,340","1,650,822","1,650,822","1,650,822","4,441,088","4,441,088","4,441,088","820,870","820,870","820,870",,"1,240,131","1,240,131","1,240,131","1,240,131",,"1,483,670","1,483,670","1,483,670",,"896,417","896,417","896,417",
,Totdl,,,,",-50,615",",-50,615",",-50,615","7,706,760 10,613,970","7,706,760 10,613,970","7,706,760 10,613,970","7,706,760 10,613,970","7,706,760 10,613,970","7,706,760 10,613,970","7,706,760 10,613,970","20,138,816 11,091,069","20,138,816 11,091,069","20,138,816 11,091,069","20,138,816 11,091,069","20,138,816 11,091,069","31,065,831","31,065,831","31,065,831","7,701,195","7,701,195","7,701,195",,"7,406209","7,406209","7,406209","7,406209",,"10,101,930_~856,397","10,101,930_~856,397","10,101,930_~856,397","10,101,930_~856,397","10,101,930_~856,397","10,101,930_~856,397","10,101,930_~856,397","10,101,930_~856,397"
All,species,species,,,,"67,036,398 11,388,430 12,863,138","67,036,398 11,388,430 12,863,138","67,036,398 11,388,430 12,863,138","67,036,398 11,388,430 12,863,138","67,036,398 11,388,430 12,863,138","67,036,398 11,388,430 12,863,138","67,036,398 11,388,430 12,863,138","67,036,398 11,388,430 12,863,138","67,036,398 11,388,430 12,863,138","10,564,343 12,220,487","10,564,343 12,220,487","10,564,343 12,220,487","10,564,343 12,220,487","10,564,343 12,220,487","37,107,533","37,107,533","37,107,533","9,289,168","9,289,168","9,289,168",,"8,185,383 12,965,769 6,667,013","8,185,383 12,965,769 6,667,013","8,185,383 12,965,769 6,667,013","8,185,383 12,965,769 6,667,013","8,185,383 12,965,769 6,667,013","8,185,383 12,965,769 6,667,013","8,185,383 12,965,769 6,667,013","8,185,383 12,965,769 6,667,013","8,185,383 12,965,769 6,667,013","8,185,383 12,965,769 6,667,013","8,185,383 12,965,769 6,667,013","8,185,383 12,965,769 6,667,013","8,185,383 12,965,769 6,667,013"
a ~ a s e don,a ~ a s e don,"""Sauthrrn","""Sauthrrn",Pine,L,O,t~rader,lor,Yard,and,and,"Structural L u a h e r , ""","Structural L u a h e r , ""","Structural L u a h e r , ""","Structural L u a h e r , ""","Structural L u a h e r , """,Researcil,Researcil,Paper,"SE-39,","SE-39,",~ublishrd by,~ublishrd by,~ublishrd by,tire,tire,,Southeastern forrat,Southeastern forrat,Southeastern forrat,Southeastern forrat,Southeastern forrat,Southeastern forrat,Southeastern forrat,,,,,
Experiment,Experiment,"Station, Asheville, NC,","Station, Asheville, NC,","Station, Asheville, NC,","Station, Asheville, NC,","Station, Asheville, NC,","Station, Asheville, NC,",1768.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b ~ o rapplicable.,b ~ o rapplicable.,b ~ o rapplicable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C ~ a s e d,on,"""Saulog cradrs","""Saulog cradrs","""Saulog cradrs",f o f,f o f,"€astern !+?,ice pine,""","€astern !+?,ice pine,""","€astern !+?,ice pine,""","€astern !+?,ice pine,""","€astern !+?,ice pine,""",Research,Research,,Paper,"NE-205,",,published,published,by,the,Northeastern,Northeastern,Northeastern,Forest,Forest,Forest,Experiment,Experiment,Experiment,Experiment,"Station,","Station,","Station,","Station,","Station,",,,
"Broomall, PA,","Broomall, PA,","Broomall, PA,",1971.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dBased,o n,"""A",Guide,t s,Hardwood,Hardwood,L a g,"Grading (revised),""","Grading (revised),""","Grading (revised),""","Grading (revised),""","Grading (revised),""",General,General,Teclinical,Teclinical,,R c p o r c,"NE-1,","NE-1,",published,published,by,rlie,Norrheastern,Norrheastern,Norrheastern,Norrheastern,Norrheastern,Norrheastern,,F o r r s r,,,,,,,
"Experi~rlentScation, Broomall, PA,","Experi~rlentScation, Broomall, PA,","Experi~rlentScation, Broomall, PA,","Experi~rlentScation, Broomall, PA,","Experi~rlentScation, Broomall, PA,","Experi~rlentScation, Broomall, PA,","Experi~rlentScation, Broomall, PA,","Experi~rlentScation, Broomall, PA,",1973.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
