Virginia,Virginia,pine,,,"1,029,744","1,029,744","1,029,744","1,029,744",,,"317,831","317,831","317,831","317,831",,"503,883","503,883",,,,"199,314","199,314","199,314",,,"8,716","8,716","8,716"
Sand,p i n e,,,,,,,--,,,,,--,--,,,--,,,,,,--,,,,--,--
Eastern,Eastern,redcedar,redcedar,,,"91,754","91,754","91,754",,,,"5,248","5,248","5,248",,"8,363","8,363",,,,"78,143","78,143","78,143",,,,--,--
Pond,p i n e,,,,,"4,940","4,940","4,940",,,,"4,940","4,940","4,940",,,--,,,,,,--,,,,--,--
Spruce,,pine,,,,,,--,,,,,--,--,,,--,,,,,,--,,,,--,--
P i t c h,pine,pine,,,,"68,495","68,495","68,495",,,"40,007","40,007","40,007","40,007",,"25,482","25,482",,,,"3,006","3,006","3,006",,,,--,--
T a b l e,Mountain,Mountain,p i n e,,,"58,258","58,258","58,258",,,"29,958","29,958","29,958","29,958",,"28,300","28,300",,,,,,--,,,,--,--
,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardwood,,t y p e s :,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak-pine,Oak-pine,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak-hickory,Oak-hickory,Oak-hickory,,,,,,,,,,,,,,,,,,,,,,,,,,
C h e s t n u t,C h e s t n u t,oak,,,,,,,,,,,,,,,,,,,,,,,,,,
S o u t h e r n,S o u t h e r n,s c r u b,oak,,,,,,,,,,,,,,,,,,,,,,,,,
Oak-gum-cypress,Oak-gum-cypress,Oak-gum-cypress,,,,,,,,,,,,,,,,,,,,,,,,,,
Elm-ash-cottonwood,Elm-ash-cottonwood,Elm-ash-cottonwood,Elm-ash-cottonwood,,,,,,,,,,,,,,,,,,,,,,,,,
Maple-beech-birch,Maple-beech-birch,Maple-beech-birch,Maple-beech-birch,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
A l l,types,,,,,,,,,,,,,,,,,,,,,,,,,,,
