Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”
Charles,Charles,City,,,,,,,,,,,,,,,.-,.-,,--
Charlotte,Charlotte,Charlotte,,,,,,,,,,,,,,"3,078","3,078","3,078",,--
Chesapeake,Chesapeake,Chesapeake,,,,,,,,,,,,,,,-.,-.,,--
Chesterfield,Chesterfield,Chesterfield,,,,,,,,,,,,,,,..,..,,--
,,,,,,,,,,,,,,,,,,,,--
Clarke,Clarke,,,,,,,,,,,,,,,,5,5,,
Craig,,,,,,,,,,,,,,,,,-,-,,.-
Culpeper,Culpeper,,,,,,,,,,,,,,,"3,175","3,175","3,175",,.-
Cumberland,Cumberland,Cumberland,,,,,,,,,,,,,,"7,374","7,374","7,374",,--
Ilickenson,Ilickenson,Ilickenson,,,,,,,,,,,,,,,..,..,"9,584","9,584"
Dinwiddie,Dinwiddie,Dinwiddie,,,,,,,,,,,,,,"2,834","2,834","2,834",,.-
ESSCX,ESSCX,,,,,,,,,,,,,,,"3,235","3,235","3,235",,.-
Fairfax,Fairfax,,,,,,,,,,,,,,,"6,308","6,308","6,308",,.-
Fauquier,Fauquier,,,,,,,,,,,,,,,"3,497","3,497","3,497",,--
Floyd,,,,,,,,,,,,,,,,,--,--,,--
Fluvanna,Fluvanna,,,,,,,,,,,,,,,"5,286","5,286","5,286",,--
Franklin,Franklin,,,,,,,,,,,,,,,,..,..,,-.
Frederick,Frederick,Frederick,,,,,,,,,,,,,,,..,..,,--
,,,,,,,,,,,,,,,,,--,--,,--
Cileo,,,,,,,,,,,,,,,,,,,,
Gloucester,Gloucester,Gloucester,,,,,,,,,,,,,,,-,-,,.-
Goochland,Goochland,Goochland,,,,,,,,,,,,,,"3,178","3,178","3,178",,.-
,,,,,,,,,,,,,,,,,.-,.-,"7,184","7,184"
Crayson,Crayson,,,,,,,,,,,,,,,,,,,
Creene,Creene,,,,,,,,,,,,,,,,--,--,,--
Greensville,Greensville,Greensville,,,,,,,,,,,,,,"13,663","13,663","13,663",,-.
IKalifsx,IKalifsx,,,,,,,,,,,,,,,"26,951","26,951","26,951",,--
Harnpton,Harnpton,,,,,,,,,,,,,,,,--,--,,.-
Hanover,Hanover,,,,,,,,,,,,,,,,--,--,,.-
Henrico,Henrico,,,,,,,,,,,,,,,"3,008","3,008","3,008",,--
,,,,,,,,,,,,,,,,"8,002","8,002","8,002",,--
Hcnry,,,,,,,,,,,,,,,,,,,,
Highland,Highland,,,,,,,,,,,,,,,,--,--,"14,415","14,415"
I s l e,o f,Wight,,,,,,,,,,,,,,"2,832","2,832","2,832",,--
James,C i t y,C i t y,,,,,,,,,,,,,,,.-,.-,,--
,,,,,,,,,,,,,,,,,-,-,,--
King,a n d,Queen,,,,,,,,,,,,,,,,,,
K i n g,George,George,,,,,,,,,,,,,,"2,596","2,596","2,596",,--
Ring,W i l l i a m,W i l l i a m,,,,,,,,,,,,,,"2,419","2,419","2,419",,--
