Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”
Nelson,,,,"222,224","222,224",,,"8,952","8,952",,"66,411","116,266","116,266",,"27,164","27,164",,"3,431"
New,Kent,,,"102,268","102,268",,"12,425","12,425","12,425",,"36,952","39,554","39,554",,"10,578","10,578",,"2,759"
Newport,News,News,,"10,695","10,695",,,"2,972","2,972",,"1,376",,"4,971",,,"1,376",,--
Norchampcon,Norchampcon,Norchampcon,,"29,316","29,316",,,"2,425","2,425",,"19,616",,"4,850",,,"2,425",,--
Northumberland,Northumberland,Northumberland,,67.888,67.888,,,"2,8115","2,8115",,"11,350","39,588","39,588",,"11,260","11,260",,"2,845"
Nottoway,Nottoway,,,"140,994","140,994",,,"9,283","9,283",,"78,994","35,129","35,129",,"17,588","17,588",,.-
Orange,,,,"120,165","120,165",,,"3,413","3,413",,"27,831","71,858","71,858",,"17,063","17,063",,-.
Page,,,,"81,161","81,161",,,,--,,"10,092","39,893","39,893",,"31,176","31,176",,--
Parrick,,,,"217,454","217,454",,,"9,831","9,831",,"33,155","115,623","115,623",,"58,845","58,845",,--
Pitcsylvania,Pitcsylvania,Pitcsylvania,,"400,658","400,658",,"16,053","16,053","16,053",,"148,940","173,045","173,045",,"45,748","45,748","16,852","16,852"
Powhatan,Powhatan,,,"127,998","127,998",,,,--,,"68,053","56,028","56,028",,,"3,917",,.-
Prince,Edward,Edward,,"160,816","160,816",,,"7,670","7,670",,"60,729","67,294","67,294",,"18,312","18,312",,"6,811"
Prince,George,George,,"118,282","118,282",,"10,709","10,709","10,709",,"51,850","52,641","52,641",,,"3,082",,--
Prince,William,William,,"100,742","100,742",,,"4,166","4,166",,"22,816","73,760","73,760",,,--,,-.
Pulaski,,,,"116,929","116,929",,,,.-,,"8,257","69,581","69,581",,"33,249","33,249",,"5,842"
Rappahannock,Rappahannock,Rappahannock,,"13,707","13,707",,,,--,,"16,748","26,815","26,815",,"26,795","26,795",,"3,349"
Richmond,Richmond,,,"76,818","76,818",,"10,919","10,919","10,919",,"23,287","29,979","29,979",,"12,633","12,633",,--
Roanoke,,,,"99,622","99,622",,,"4,508","4,508",,"22,543","56,508","56,508",,"16,063","16,063",,--
Rozkbridge,Rozkbridge,Rozkbridge,,"234,494","234,494",,,"8,796","8,796",,"51,297","130,232","130,232",,"44,169","44,169",,--
Rockingham,Rockingham,Rockingham,,"256,501","256,501",,,"4,1%","4,1%",,"40,054","141,679","141,679",,"61,779","61,779",,"8,825"
Russell,,,,"166,872","166,872",,,,--,,"23,670","110,064","110,064",,"33,128","33,128",,--
,,,,,,,,,,,,,,,,,,--
Scott,,,,"227,435","227,435",,,,184,,"47,992","139,425","139,425",,"39,834","39,834",,
Shenandoah,Shenandoah,Shenandoah,,"177,799","177,799",,"16,828","16,828","16,828",,"5L,578","55,243","55,243",,"42,736","42,736",,"8,414"
Smyth,,,,"168,540","168,540",,,"4,889","4,889",,"47,753","77,195","77,195",,"33,681","33,681",,"5,022"
Souchampton,Souchampton,Souchampton,,"241,582","241,582",,"17,873","17,873","17,873",,"110,238","100,645","100,645",,"10,088","10,088",,"2,738"
Spotsylvanid,Spotsylvanid,Spotsylvanid,,"177,890","177,890",,"23,895","23,895","23,895",,"85,398","57,065","57,065",,"11,532","11,532",,--
,,,,,,,,,,,,,,,,,,--
Szafford,Szafford,,,"120,200","120,200",,"11,963","11,963","11,963",,"52,124","44,360","44,360",,"11,753","11,753",,
Suffolk,,,,"114,732","114,732",,,"2,250","2,250",,"60,009","41,099","41,099",,,"9,004",,"2,370"
Surry,,,,"123,970","123,970",,,"5,442","5,442",,"45,295","67,792","67,792",,,"2,341",,"3,100"
Sussex,,,,"250,306","250,306",,"25,163","25,163","25,163",,"111,443","94,604","94,604",,"10,720","10,720",,"8,376"
lazewell,lazewell,,,"200,743","200,743",,,,--,,"57,375","107,431","107,431",,"35,937","35,937",,--
Virginia,Virginia,Beach,,"45,165","45,165",,,"4,403","4,403",,"19,818","16,540","16,540",,,"4,404",,--
Warren,,,,"65,307","65,307",,,,--,,"10,156","32,689","32,689",,"13,700","13,700",,"8,762"
,,,,,,,,,,,,,,,,,,.-
Washington,Washington,Washington,,"194,079","194,079",,"16,616","16,616","16,616",,"11,690","238,134","238,134",,"27,639","27,639",,
,,,,,,,,,,,,,,,,,,--
Westmoreland,Westmoreland,Westmoreland,,"75,076","75,076",,,"4,786","4,786",,"26,710","38,794","38,794",,,"4,786",,
,,,,,,,,,,,,,,,,,,--
Wise,,,,"190,140","190,140",,,"4,793","4,793",,"42,120","104,875","104,875",,"38,352","38,352",,
,,,,,,,,,,,,,,,,,,--
Wyche,,,,"141,945","141,945",,,"4,336","4,336",,"42,296","53,588","53,588",,"41,725","41,725",,
,,,,,,,,,,,,,,,,--,,.-
York,,,,"31,048","31,048",,,"6,534","6,534",,"16,148","8,366","8,366",,,,,
Tom1,,,"15,435,836","15,435,836","15,435,836",,"690,125","690,125","690,125","5,047,426","5,047,426","7,244,676","7,244,676","2,255,803","2,255,803","2,255,803","197,806","197,806"
' s e e,stacking,stacking,standards on,standards on,standards on,page,page,page,16.,,,,,,,,,
