,Other,r e d,oaks,oaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hickory,Hickory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yellow,,b i r c h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Herd,m a p l e,m a p l e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S o f t,maple,maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sweetgum,Sweetgum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T u p e l o,,a n d,blackgum,blackgum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c a t tonwood,c a t tonwood,c a t tonwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baonvood,Baonvood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yellow-poplar,Yellow-poplar,Yellow-poplar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bay,a n d,m a g n o l i a,m a g n o l i a,m a g n o l i a,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Black,c h e r r y,c h e r r y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Black,walnut,walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sycamore,Sycamore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Black,l o c u s t,l o c u s t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,eagtern,eagtern,eagtern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,herdvoods,herdvoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T o t a l,hardwoods,hardwoods,hardwoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A l l,apeciea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
