Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”
Spruce and fir,5.6,2.3,0.9,0.3,0.7,0.2,0.4,0.3,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0
Eastern hemlock,49.2,22.9,8.3,7.0,4.3,2.5,1.6,1.1,0.5,0.3,0.2,0.3,0.1,0.0,0.0,0.0
Cypress,3.4,2.2,0.0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0
Other eastern softwoods,250.2,168.3,44.6,20.0,9.4,4.4,1.9,1.0,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0
Total softwoods,"2,103.7",896.0,446.9,285.0,224.0,127.1,65.4,29.9,15.4,7.0,3.1,2.7,0.9,0.2,0.0,0.0
Hardwood,,,,,,,,,,,,,,,,
Select white oaks,450.2,208.4,80.3,39.3,33.6,23.9,21.2,14.4,12.2,7.7,4.1,3.5,1.0,0.2,0.2,0.1
Select red oaks,151.4,64.8,17.5,13.9,12.4,10.8,7.3,6.4,6.0,3.5,2.6,4.0,1.1,0.4,0.3,0.2
Other white oaks,395.5,113.4,64.4,53.6,48.4,37.1,26.4,20.1,12.4,8.5,4.9,4.1,1.8,0.3,0.3,0.1
Other red oaks,558.0,308.6,78.7,45.0,35.2,28.6,20.0,15.5,10.3,6.6,4.1,3.8,1.1,0.4,0.1,0.0
Hickory,418.7,238.9,66.5,38.4,26.1,17.9,12.0,8.3,5.4,2.7,1.2,1.0,0.3,0.0,0.0,0.0
Yellow birch,12.7,7.2,2.3,0.9,0.7,0.6,0.5,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hard maple,170.8,112.1,27.8,11.4,7.4,4.4,2.8,1.9,1.4,0.7,0.3,0.4,0.0,0.1,0.0,0.0
Soft maple,"1,423.5",956.4,237.5,97.8,56.8,30.8,18.8,10.4,6.6,4.1,1.6,1.9,0.6,0.3,0.0,0.0
Beech,214.8,137.8,37.9,14.0,7.9,5.5,3.4,2.8,1.8,1.3,0.8,1.0,0.5,0.1,0.0,0.0
Sweetgum,682.1,453.6,130.6,43.9,22.1,12.4,8.2,5.0,3.1,1.6,0.7,0.7,0.2,0.0,0.0,0.0
Tupelo and blackgum,655.8,482.4,104.9,32.4,14.7,9.1,5.0,3.3,1.6,1.2,0.5,0.5,0.2,0.0,0.0,0.0
Ash,177.6,106.6,26.6,15.9,10.3,6.2,5.0,3.0,1.6,1.2,0.5,0.4,0.2,0.1,0.0,0.0
Cottonwood and aspen,16.7,11.2,3.1,0.9,0.8,0.2,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Basswood,23.6,10.4,3.1,2.6,2.2,1.3,1.1,1.1,0.7,0.5,0.4,0.2,0.0,0.0,0.0,0.0
Yellow-poplar,846.5,496.2,120.9,66.0,42.2,31.6,25.3,21.5,16.0,10.6,7.3,6.0,1.9,0.7,0.2,0.1
Black walnut,18.8,5.5,2.7,3.1,1.9,1.7,1.6,1.0,0.7,0.3,0.2,0.1,0.1,0.0,0.0,0.0
Other eastern,,,,,,,,,,,,,,,,
soft hardwoods,695.4,470.8,121.4,42.7,23.7,14.7,8.8,5.4,3.3,2.3,1.0,0.7,0.2,0.2,0.1,0.0
Other eastern,,,,,,,,,,,,,,,,
hard hardwoods,"1,004.8",773.3,145.2,42.2,19.8,11.2,6.1,3.5,1.6,0.7,0.6,0.4,0.2,0.0,0.0,0.0
Eastern noncommercial,,,,,,,,,,,,,,,,
hardwoods,"1,132.4",863.1,186.8,51.1,20.4,7.0,2.3,1.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total hardwoods,"9,049.3 5,820.6 1,458.1","9,049.3 5,820.6 1,458.1","9,049.3 5,820.6 1,458.1",615.3,386.8,254.9,175.8,124.9,85.7,53.8,30.9,28.6,9.4,2.6,1.2,0.6
All species,"11,153.0 6,716.7 1,905.1","11,153.0 6,716.7 1,905.1","11,153.0 6,716.7 1,905.1",900.3,610.8,382.0,241.2,154.8,101.0,60.8,34.0,31.2,10.4,2.9,1.2,0.6
Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,,,,,,,,,,,,
"0.0 = no sample for the cell or a value of > 0.0 but 
    ","0.0 = no sample for the cell or a value of > 0.0 but 
    ","0.0 = no sample for the cell or a value of > 0.0 but 
    ","0.0 = no sample for the cell or a value of > 0.0 but 
    ",,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,
