Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”
Shortleaf,Shortleaf,,pine,,"1,500,943","1,500,943","1,500,943","440,098","440,098","472,174","472,174","315,625","315,625","170,523","170,523","62,980","62,980","39,543",--,,--
Loblolly,Loblolly,pine,pine,,"8,960,423","8,960,423","8,960,423","1,963,519","1,963,519","1,935,401","1,935,401","1,567,994","1,567,994","1,295,244","1,295,244","953,314","953,314","603,777","632,039","9,135","9,135"
Pond,pine,,,,,"64,405","64,405","7,106","7,106","7,782","7,782","5,876","5,876","5,876","5,876","17,540","17,540","10,923","4,135","5,167","5,167"
Virginia,Virginia,pine,pine,,"4,104,468","4,104,468","4,104,468","1,674,366","1,674,366","1,356,113","1,356,113","710,090","710,090","260,695","260,695","88,296","88,296","10,012","4,896",,--
Pitch,pine,pine,,,,"922,548","922,548","145,863","145,863","262,126","262,126","253,223","253,223","137,196","137,196","74,258","74,258","39,423","10,459",,--
Table,Mountain,Mountain,Mountain,pine,,"408,559","408,559","116,969","116,969","126,738","126,738","104,436","104,436","48,958","48,958","5,904","5,904","5,554",--,,
Spruce,,pine,,,,,--,,--,,--,,--,,--,,--,--,--,,--
Sand,pine,,,,,,--,,--,,--,,--,,--,,--,--,--,,
Eastern,Eastern,white,white,pine,"2,814,877","2,814,877","2,814,877","312,903","312,903","341,339","341,339","366,219","366,219","490,161","490,161","400,306","400,306","381,230","482,236","40,483","40,483"
Eastern,Eastern,hemlock,hemlock,hemlock,,"684,809","684,809","54,402","54,402","84,592","84,592","58,911","58,911","92,669","92,669","63,802","63,802","62,103","153,416","114,914","114,914"
Spruce,,and,fir,,,"14,254","14,254",,-.-,"10,107","10,107","4,147","4,147",,--,,--,--,--,,--
Baldcypress,Baldcypress,Baldcypress,,,,"211,147","211,147","3,850","3,850","6,368","6,368","19,756","19,756","18,007","18,007","22,305","22,305","27,606","60,760","52,495","52,495"
Pondcypress,Pondcypress,Pondcypress,,,,"57,240","57,240",,--,"2,357","2,357",,--,"6,782","6,782","3,516","3,516","7,422","19,225","17,938","17,938"
Cedars,,,,,,"136,914","136,914","59,008","59,008","33,669","33,669","21,579","21,579","22,658","22,658",,--,--,--,,--
,Total,softwoods,softwoods,softwoods,"19,880,587","19,880,587","19,880,587","4,778,084","4,778,084","4,638,766","4,638,766","3,427,856","3,427,856","2,548,769","2,548,769","1,692,221","1,692,221","1,187,593","1,367,166","240,132","240,132"
Hardwood,,,,,,,,,,,,,,,,,,,,,
Select,,white,oaks,oaks,"8,930,625","8,930,625","8,930,625",,--,"1,469,816","1,469,816","1,663,838","1,663,838","1,695,384","1,695,384","1,297,253","1,297,253","970,780","1,590,903","242,651","242,651"
Select,,red,oaks,oaks,"5,517,673","5,517,673","5,517,673",,--,"553,494","553,494","698,641","698,641","771,443","771,443","742,123","742,123","701,160","1,645,434","405,378","405,378"
Chestnut,Chestnut,oak,,,"7,050,054","7,050,054","7,050,054",,--,"1,159,285","1,159,285","1,243,264","1,243,264","1,046,948","1,046,948","1,117,661","1,117,661","774,653","1,436,652","271,591","271,591"
Other,white,white,oaks,oaks,,"296,919","296,919",,--,"65,452","65,452","59,733","59,733","59,380","59,380","38,915","38,915","30,080","30,324","13,035","13,035"
Other,red,oaks,oaks,,"8,070,248","8,070,248","8,070,248",,--,"1,329,167","1,329,167","1,634,034","1,634,034","1,499,392","1,499,392","1,260,329","1,260,329","848,269","1,361,449","137,608","137,608"
Hickory,Hickory,,,,"3,533,910","3,533,910","3,533,910",,--,"734,246","734,246","769,715","769,715","679,430","679,430","489,207","489,207","373,676","450,015","37,621","37,621"
Yellow,,birch,,,,"49,767","49,767",,--,,--,"6,950","6,950","3,511","3,511","8,048","8,048","8,441","22,817",,--
Hard,maple,maple,,,,"684,894","684,894",,--,"115,313","115,313","154,174","154,174","123,799","123,799","74,170","74,170","67,620","127,806","22,012","22,012"
Soft,maple,maple,,,"3,187,312","3,187,312","3,187,312",,--,"767,741","767,741","761,259","761,259","507,111","507,111","409,747","409,747","297,529","367,638","76,287","76,287"
Beech,,,,,"1,621,815","1,621,815","1,621,815",,--,"226,971","226,971","271,938","271,938","278,227","278,227","291,198","291,198","190,926","315,238","47,317","47,317"
Sweetgum,Sweetgum,,,,"2,356,572","2,356,572","2,356,572",,--,"521,487","521,487","575,311","575,311","421,487","421,487","246,394","246,394","203,163","325,322","63,408","63,408"
Tupelo,,and,blackgum,blackgum,"1,068,626","1,068,626","1,068,626",,--,"267,511","267,511","206,904","206,904","203,356","203,356","117,789","117,789","94,106","120,189","58,771","58,771"
Ash,,,,,,"950,282","950,282",,--,"175,384","175,384","163,070","163,070","173,328","173,328","121,138","121,138","116,440","141,399","59,523","59,523"
Cottonwood,Cottonwood,Cottonwood,,,,"5,073","5,073",,--,,--,,--,,--,,--,--,"5,073",,--
Basswood,Basswood,,,,,"580,003","580,003",,--,"81,300","81,300","94,631","94,631","121,119","121,119","99,163","99,163","63,226","69,858","50,706","50,706"
Yellow-poplar,Yellow-poplar,Yellow-poplar,Yellow-poplar,,"13,291,881","13,291,881","13,291,881",,--,"1,824,604","1,824,604","2,338,277","2,338,277","2,652,439","2,652,439","2,170,989","2,170,989","1,634,931","2,349,810","320,831","320,831"
Bay,and,magnolia,magnolia,magnolia,,"74,759","74,759",,--,"13,642","13,642","25,764","25,764","11,554","11,554","3,087","3,087",--,"20,712",,--
Black,cherry,cherry,,,,"219,012","219,012",,--,"57,631","57,631","42,769","42,769","28,005","28,005","46,682","46,682","5,582","24,639","13,704","13,704"
Black,walnut,walnut,,,,"301,859","301,859",,--,"62,459","62,459","84,257","84,257","43,205","43,205","25,101","25,101","51,009","28,139","7,689","7,689"
Sycamore,Sycamore,,,,,"576,532","576,532",,--,"62,051","62,051","52,803","52,803","103,890","103,890","95,014","95,014","74,246","148,643","39,885","39,885"
Black,locust,locust,,,,"514,511","514,511",,--,"166,462","166,462","124,633","124,633","101,909","101,909","65,403","65,403","33,801","22,303",,--
Elm,,,,,,"253,867","253,867",,--,"66,505","66,505","44,409","44,409","35,432","35,432","33,437","33,437","18,913","46,088","9,083","9,083"
Other,eastern,eastern,eastern,,,,,,,,,,,,,,,,,,
,hardwoods,hardwoods,,,"1,234,740","1,234,740","1,234,740",,--,"280,795","280,795","244,216","244,216","191,730","191,730","193,685","193,685","123,109","156,355","44,850","44,850"
,Total,hardwoods,hardwoods,hardwoods,"60,370,934","60,370,934","60,370,934",,--,"10,001,316","10,001,316","11,260,590","11,260,590","10,752,079","10,752,079","8,946,533","8,946,533","6,681,660","10,806,806","1,921,950","1,921,950"
All,species,,,,"80,251,521","80,251,521","80,251,521","4,778,084","4,778,084","14,640,082","14,640,082","14,688,446","14,688,446","13,300,848","13,300,848","10,638,754","10,638,754","7,869,253","12,173,972","2,162,082","2,162,082"
