Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”
Basswood,Basswood,,,,"13,106",,"2,260","2,260","1,446","1,446","2,735","1,704","1,704","1,620","1,067",,778,695,406,192,160,43,43
Yellow-poplar,Yellow-poplar,Yellow-poplar,Yellow-poplar,,"558,020","272,185","272,185","272,185","101,675","101,675","51,226","35,812","35,812","27,215","24,184","17,563","17,563","12,710","7,383","4,056","3,791",220,220
Bay,and,magnolia,magnolia,magnolia,"29,309",,"20,696","20,696","3,879","3,879","1,830","1,290","1,290","1,028",245,,225,69,15,--,32,--,--
Black,cherry,cherry,,,"67,752",,"48,082","48,082","11,254","11,254","4,364","1,394","1,394","1,029",816,,394,163,175,19,48,14,14
Black,walnut,walnut,,,"11,413",,,720,"2,534","2,534","2,025","1,476","1,476","2,010",990,,878,355,140,195,80,10,10
Sycamore,Sycamore,,,,"20,546",,"7,834","7,834","5,315","5,315","1,262","2,021","2,021","1,019",935,,504,679,402,241,304,30,30
Black,locust,locust,,,"59,905",,"25,854","25,854","9,857","9,857","9,567","4,272","4,272","4,636","2,922","1,349","1,349",822,390,162,74,--,--
EIm,,,,,"48,663",,"23,243","23,243","11,618","11,618","7,547","2,854","2,854","1,464","1,046",,384,198,154,60,89,,6
Other,eastern,eastern,eastern,,,,,,,,,,,,,,,,,,,,
,hardwoods,hardwoods,,,"138,881",,"71,184","71,184","23,034","23,034","17,086","10,555","10,555","7,353","4,317","2,430","2,430","1,236",870,414,362,40,40
,Total,hardwoods,hardwoods,hardwoods,"4,788,671","2,455,924","2,455,924","2,455,924","899,778","899,778","491,711","324,053","324,053","223,954","152,539","99,921","99,921","61,547","36,494","20,155","20,935","1,660","1,660"
All,species,,,,"6,842,491","3,236,669","3,236,669","3,236,669","1,411,281","1,411,281","830,910","537,375","537,375","332,232","206,387","123,907","123,907","73,474","42,051","23,150","23,194","1,861","1,861"
