Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”
,Total,softwoods,softwoods,softwoods,,"2,175,627","2,175,627","866,885","866,885","534,547","345,498","345,498","216,594","109,957","54,713","24,298","24,298","11,998","5,595","3,018","2,305",219,219
Hardwood,,,,,,,,,,,,,,,,,,,,,,,
Select,,white,oaks,oaks,,"544,067","544,067","247,649","247,649","97,779",,"65,055","40,745","33,454","22,886","14,883","14,883","9,675","5,389","2,921","3,292",339,339
Select,,red,oaks,oaks,,"195,315","195,315","85,293","85,293","36,989",,"19,749","12,536","10,747","8,811","6,770","6,770","4,902","3,328","2,335","3,415",440,440
Chestnut,Chestnut,oak,,,,"388,611","388,611","98,662","98,662","74,340",,"63,892","54,848","35,028","23,291","14,984","14,984","8,879","6,358","3,465","4,375",489,489
Other,white,white,oaks,oaks,,"47,331","47,331","29,511","29,511","7,691",,"2,500","3,257","1,808","1,093",,712,375,192,87,79,26,26
Other,red,,oaks,,,"639,730","639,730","336,261","336,261","98,522",,"64,339","48,690","34,631","21,823","15,252","15,252","8,980","5,506","2,634","2,939",153,153
Hickory,Hickory,,,,,"466,407","466,407","270,990","270,990","85,805",,"39,647","26,999","17,558","11,201","6,613","6,613","3,778","1,899","1,014",856,47,47
Yellow,,birch,,,,"4,794","4,794","2,800","2,800",542,,691,79,388,--,,135,25,40,51,43,--,--
Hard,maple,maple,,,,"131,596","131,596","82,415","82,415","25,489",,"10,187","5,555","3,045","1,716","1,430","1,430",775,375,259,303,47,47
Soft,maple,maple,,,,"1,618,900","1,618,900","1,164,859","1,164,859","251,218",,"95,692","48,028","24,463","16,019","9,247","9,247","4,227","2,239","1,443","1,339",126,126
Beech,,,,,,"183,732","183,732","122,453","122,453","27,559",,"9,128","6,990","4,824","3,938","2,864","2,864","2,092","1,646",898,"1,233",107,107
Sweetgum,Sweetgum,,,,,"752,244","752,244","514,351","514,351","138,265",,"46,218","23,286","14,034","7,362","4,512","4,512","2,094",928,541,591,62,62
Tupelo,,and,blackgum,blackgum,blackgum,"692,110","692,110","541,770","541,770","89,696",,"27,251","13,087","8,722","5,450","2,632","2,632","1,627",787,438,539,111,111
Ash,,,,,,"169,086","169,086","98,255","98,255","32,644",,"16,986","8,647","4,931","3,339","1,780","1,780","1,088",590,452,311,63,63
Cottonwood,Cottonwood,Cottonwood,,,,,274,,--,160,,--,--,70,32,,--,--,--,--,12,--,--
Basswood,Basswood,,,,,"21,663","21,663","8,097","8,097","3,233",,"2,880","2,024","1,669","1,245",,840,749,406,207,267,46,46
Yellow-poplar,Yellow-poplar,Yellow-poplar,Yellow-poplar,,,"628,179","628,179","322,903","322,903","113,620",,"53,974","37,808","28,377","24,750","17,840","17,840","12,884","7,567","4,171","3,974",311,311
Bay,and,magnolia,magnolia,magnolia,,"50,582","50,582","38,088","38,088","6,503",,"2,420","1,376","1,401",311,,321,115,15,--,32,--,--
Black,cherry,cherry,,,,"153,839","153,839","110,124","110,124","28,232",,"8,108","3,390","1,639","1,097",,590,320,175,36,106,22,22
Black,walnut,walnut,,,,"20,572","20,572","4,106","4,106","4,940",,"3,378","2,403","2,535","1,126","1,016","1,016",462,214,222,150,20,20
Sycamore,Sycamore,,,,,"27,305","27,305","12,823","12,823","6,312",,"1,807","2,084","1,056",958,,529,700,431,249,324,32,32
Black,locust,locust,,,,"118,039","118,039","58,867","58,867","22,054",,"14,909","6,535","7,013","4,251","2,189","2,189","1,154",595,270,202,--,--
Elm,,,,,,"89,679","89,679","55,459","55,459","16,774",,"9,946","3,415","1,835","1,233",413,413,284,165,60,89,,6
Other,eastern,eastern,eastern,,,,,,,,,,,,,,,,,,,,
,hardwoods,hardwoods,,,,"2,496,813","2,496,813","1,953,594","1,953,594","367,680","105,285","105,285","37,819","16,375","8,153","3,796","3,796","1,897","1,102",588,470,54,54
,Total,hardwoods,hardwoods,hardwoods,,"9,440,868","9,440,868","6,159,330","6,159,330","1,536,047","664,042","664,042","389,601","255,603","170,085","109,348","109,348","67,082","39,947","22,341","24,941","2,501","2,501"
All,Species,,,,,"11,616,495","11,616,495","7,026,215","7,026,215","2,070,594","1,009,540","1,009,540","606,195","365,560","224,798","133,646","133,646","79,080","45,542","25,359","27,246","2,720","2,720"
