Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”
Charlotte,Charlotte,Charlotte,,"209,194","209,194",,--,--,"1,835",,--,,11,"41,610","91,156","16,574","16,574","58,008"
Chesapeake,Chesapeake,Chesapeake,,"59,974","59,974",,--,--,"1,533",,190,"1,947","1,947","6,125","10,564","21,128","21,128","18,487"
Chesterfield,Chesterfield,Chesterfield,,"187,487","187,487",,--,--,863,"5,652","5,652","1,155","1,155","15,814","20,873","59,637","59,637","83,493"
Clarke,Clarke,,,"37,876","37,876",,--,--,--,,86,198,198,--,"4,699",,--,"32,893"
Craig,,,,"162,684","162,684","97,617","97,617","97,617",--,,33,,8,397,"32,315",,--,"32,314"
Culpeper,Culpeper,,,"114,304","114,304",,--,--,10,,343,476,476,"7,647","40,464","12,450","12,450","52,914"
Cumberland,Cumberland,Cumberland,,"131,624","131,624",,--,--,--,"14,022","14,022",112,112,"27,988","36,614","12,205","12,205","40,683"
Dickenson,Dickenson,Dickenson,,"171,650","171,650",,"8,082","8,082","6,197",,--,,--,408,"13,454","89,693","89,693","53,816"
Dinwiddie,Dinwiddie,Dinwiddie,,"244,049","244,049",,--,--,"8,676",,680,330,330,"64,864","58,448","11,690","11,690","99,361"
Essex,,,,"98,013","98,013",,--,--,109,,--,385,385,"16,023","28,210","9,403","9,403","43,883"
Fairfax,Fairfax,,,"68,538","68,538",,--,--,"7,838","2,813","2,813","1,974","1,974",--,--,"26,312","26,312","29,601"
Fauquier,Fauquier,,,"174,154","174,154",,--,--,"3,933","7,866","7,866",975,975,"1,855","65,260","21,753","21,753","72,512"
Floyd,,,,"141,181","141,181",,-.,-.,--,,70,46,46,"3,891","55,886","5,081","5,081","76,207"
Fluvanna,Fluvanna,,,"137,348","137,348",,--,--,--,,900,90,90,"18,089","35,043","21,902","21,902","61,324"
Franklin,Franklin,,,"279,964","279,964",,--,--,"2,748",,158,471,471,"14,056","77,215","15,443","15,443","169,873"
Frederick,Frederick,Frederick,,"128,921","128,921",,"4,297","4,297",--,,43,227,227,337,"44,006","16,002","16,002","64,009"
Giles,,,,"167,121","167,121","52,408","52,408","52,408",--,,361,353,353,"5,545","29,578","4,930","4,930","73,946"
Gloucester,Gloucester,Gloucester,,"94,613","94,613",,--,--,--,,80,271,271,"7,886","10,162","10,162","10,162","66,052"
Goochland,Goochland,Goochland,,"130,505","130,505",,--,--,--,,10,185,185,"13,063","27,588","3,448","3,448","86,211"
Grayson,Grayson,,,"164,742","164,742","22,897","22,897","22,897",--,,--,321,321,"3,932","54,054","14,742","14,742","68,796"
Greene,Greene,,,"53,599","53,599",,--,--,--,"1,051","1,051",76,76,490,"11,139","7,426","7,426","33,417"
Greenville,Greenville,Greenville,,"135,286","135,286",,--,--,--,,--,143,143,"50,708","30,490",,--,"53,945"
Halifax,Halifax,,,"351,662","351,662",,--,--,"10,218",,25,255,255,"31,059","180,895","25,842","25,842","103,368"
Hampton,Hampton,,,"4,342","4,342",,--,--,280,,44,50,50,--,--,"3,968","3,968",--
Hanover,Hanover,,,"178,181","178,181",,--,--,--,"1,103","1,103",276,276,"15,246","40,389","17,310","17,310","103,857"
Henrico,Henrico,,,"59,429","59,429",,-.,-.,20,"2,264","2,264",818,818,128,"8,430","19,670","19,670","28,099"
Henry,,,,"176,780","176,780",,-.,-.,688,,432,620,620,"20,199","31,762","27,792","27,792","95,287"
Highland,Highland,,,"196,003","196,003","57,432","57,432","57,432",--,"13,994","13,994",20,20,"7,249","31,583","4,512","4,512","81,213"
Isle,of,Wight,,"114,161","114,161",,--,--,60,,10,925,925,"28,033","58,712","2,936","2,936","23,485"
James,City,City,,"60,221","60,221",,--,--,"1,248",,750,"1,150","1,150","6,766","6,708","10,061","10,061","33,538"
King,and,Queen,,"152,722","152,722",,--,--,--,,320,334,334,"55,245","30,430","8,299","8,299","58,094"
King,George,George,,"70,130","70,130",,--,--,"1,401",,223,309,309,698,"7,788","15,577","15,577","44,134"
King,William,William,,"111,822","111,822",,--,--,425,,317,47,47,"27,586","27,816","7,586","7,586","48,045"
,,,,,,,,,,,,,,,,,,Continued
