Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”
Carroll,Carroll,Carroll,,,"182,605","4,837","4,837","32,972","32,972","81,908",,"48,376","14,512"
Charles,Charles,Charles,City,,"84,737","8,050","8,050","47,525","47,525","24,034",,--,"5,128"
Charlotte,Charlotte,Charlotte,Charlotte,,"209,194","16,091","16,091","93,078","93,078","89,139",,"10,886",--
Chesapeake,Chesapeake,Chesapeake,Chesapeake,,"59,974",,767,"33,301","33,301","21,318",,"4,588",--
Chesterfield,Chesterfield,Chesterfield,Chesterfield,,"187,487","2,635","2,635","99,763","99,763","79,125",,"5,964",--
Clarke,Clarke,Clarke,,,"37,876",,--,"14,183","14,183","18,796",,"4,897",--
Craig,Craig,Craig,,,"162,684","24,139","24,139","43,300","43,300","71,369",,"23,876",--
Culpeper,Culpeper,Culpeper,,,"114,304","3,122","3,122","35,659","35,659","65,842",,"9,681",--
Cumberland,Cumberland,Cumberland,Cumberland,,"131,624","12,206","12,206","64,616","64,616","42,598",,"8,136","4,068"
Dickenson,Dickenson,Dickenson,Dickenson,,"171,650",,--,"27,316","27,316","75,352",,"64,497","4,485"
Dinwiddie,Dinwiddie,Dinwiddie,Dinwiddie,,"244,049","8,013","8,013","128,169","128,169","88,866",,"19,001",--
Essex,Essex,,,,"98,013","11,692","11,692","40,995","40,995","33,634",,"11,692",--
Fairfax,Fairfax,Fairfax,,,"68,538","2,813","2,813","28,286","28,286","30,861",,"6,578",--
Fauquier,Fauquier,Fauquier,,,"174,154","3,626","3,626","56,547","56,547","70,475",,"39,881","3,625"
Floyd,Floyd,,,,"141,181","8,971","8,971","25,402","25,402","81,337",,"25,471",--
Fluvanna,Fluvanna,Fluvanna,,,"137,348","8,761","8,761","52,938","52,938","62,974",,"12,675",--
Franklin,Franklin,Franklin,,,"279,964","22,053","22,053","102,657","102,657","108,926",,"46,328",--
Frederick,Frederick,Frederick,Frederick,,"128,921","4,001","4,001","20,381","20,381","76,307",,"28,232",--
Giles,Giles,,,,"167,121","4,930","4,930","57,321","57,321","89,719",,"10,221","4,930"
Gloucester,Gloucester,Gloucester,Gloucester,,"94,613","12,704","12,704","45,994","45,994","28,295",,"7,620",--
Goochland,Goochland,Goochland,Goochland,,"130,505","6,898","6,898","55,172","55,172","64,976",,"3,459",--
Grayson,Grayson,Grayson,,,"164,742","9,828","9,828","34,921","34,921","85,274",,"34,719",--
Greene,Greene,Greene,,,"53,599","3,713","3,713","27,608","27,608","18,565",,"3,713",--
Greenville,Greenville,Greenville,Greenville,,"135,286","7,035","7,035","51,417","51,417","44,321",,"23,294","9,219"
Halifax,Halifax,Halifax,,,"351,662","16,116","16,116","141,411","141,411","142,452",,"44,300","7,383"
Hampton,Hampton,Hampton,,,"4,342",,50,"4,248","4,248",44,,--,--
Hanover,Hanover,Hanover,,,"178,181","16,112","16,112","74,088","74,088","78,223",,"5,770","3,988"
Henrico,Henrico,Henrico,,,"59,429",,--,"31,448","31,448","25,171",,"2,810",--
Henry,Henry,,,,"176,780","15,882","15,882","63,642","63,642","70,290",,"22,995","3,971"
Highland,Highland,Highland,,,"196,003","17,860","17,860","80,894","80,894","79,275",,"13,462","4,512"
Isle,Isle,of,Wight,,"114,161","7,608","7,608","56,862","56,862","40,884",,"8,807",--
James,James,,City,,"60,221","14,571","14,571","10,787","10,787","28,156",,"6,707",--
King,King,and,Queen,Queen,"152,722","20,739","20,739","68,432","68,432","45,579",,"17,972",--
King,King,George,George,,"70,130","2,905","2,905","22,170","22,170","37,267",,"7,788",--
King,King,William,William,,"111,822","15,401","15,401","43,909","43,909","31,823",,"15,403","5,286"
,,,,,,,,,,,,,Continued
28,,,,,,,,,,,,,
