,,red,oaks,,,,"14,448,298","14,448,298","14,448,298","2,253,109","2,253,109","2,253,109","5,029,703","5,029,703","5,029,703","6,407,206","6,407,206",,"758,280","758,280",,,"10,062,509","10,062,509",,"2,253,109","2,253,109","4,258,361","4,258,361","4,258,361","3,220,703","3,220,703","3,220,703","330,336","330,336"
,Other,Other,white,and,and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,red,oaks,,,,"15,417,221","15,417,221","15,417,221","1,436,055","1,436,055","1,436,055","4,366,445","4,366,445","4,366,445","8,130,719","8,130,719",,"1,484,002","1,484,002","1,484,002",,"9,926,286","9,926,286",,"1,436,055","1,436,055","3,625,206","3,625,206","3,625,206","4,152,296","4,152,296","4,152,296","712,729","712,729"
,Hickory,Hickory,,,,,"3,533,910","3,533,910","3,533,910","327,085","327,085","327,085",,"946,295","946,295","2,006,107","2,006,107",,"254,423","254,423",,,"2,029,949","2,029,949",,"327,085","327,085","737,322","737,322","737,322","850,304","850,304","850,304","115,238","115,238"
,Yellow,Yellow,birch,,,,,"49,767","49,767",,,--,,"3,694","3,694","30,781","30,781",,"15,292","15,292",,,,"42,817",,,--,,"3,694","3,694","23,831","23,831","23,831","15,292","15,292"
,Hard,maple,maple,,,,,"684,894","684,894",,"14,144","14,144",,"179,868","179,868","419,077","419,077",,"71,805","71,805",,,"415,407","415,407",,"14,144","14,144","141,143","141,143","141,143","233,522","233,522","233,522","26,598","26,598"
,Sweetgum,Sweetgum,Sweetgum,,,,"2,356,572","2,356,572","2,356,572","354,954","354,954","354,954",,"935,715","935,715","946,948","946,948",,"118,955","118,955",,,"1,259,774","1,259,774",,"354,954","354,954","639,254","639,254","639,254","212,290","212,290","212,290","53,276","53,276"
,"Ash,","walnut,","walnut,",and,and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,black,black,cherry,cherry,,,"1,471,153","1,471,153","1,471,153","161,344","161,344","161,344",,"477,723","477,723","737,957","737,957",,"94,129","94,129",,,"885,583","885,583",,"161,344","161,344","381,306","381,306","381,306","298,867","298,867","298,867","44,066","44,066"
,Yellow-poplar,Yellow-poplar,Yellow-poplar,Yellow-poplar,,,"13,291,881","13,291,881","13,291,881","2,891,011","2,891,011","2,891,011","5,053,559","5,053,559","5,053,559","4,699,321","4,699,321",,"647,990","647,990",,,"9,129,000","9,129,000",,"2,891,011","2,891,011","3,909,155","3,909,155","3,909,155","2,032,600","2,032,600","2,032,600","296,234","296,234"
,Other,Other,eastern,eastern,hardwoods,hardwoods,"9,117,238","9,117,238","9,117,238","415,211","415,211","415,211","1,896,033","1,896,033","1,896,033","5,255,356","5,255,356",,"1,550,638","1,550,638","1,550,638",,"5,357,703","5,357,703",,"415,211","415,211","1,559,773","1,559,773","1,559,773","2,626,329","2,626,329","2,626,329","756,390","756,390"
,,Total,,,,,"60,370,934","60,370,934","60,370,934","7,852,913","7,852,913","7,852,913","18,889,035","18,889,035","18,889,035","28,633,472","28,633,472",,"4,995,514","4,995,514","4,995,514",,"39,109,028","39,109,028","7,852,913","7,852,913","7,852,913","15,255,214","15,255,214","15,255,214","13,650,742","13,650,742","13,650,742","2,350,159","2,350,159"
All,All,species,species,,,,"80,251,521","80,251,521","80,251,521","11,262,753","11,262,753","11,262,753","24,025,354","24,025,354","24,025,354","39,871,948","39,871,948","39,871,948","5,091,466","5,091,466",,,"46,144,909","46,144,909","10,062,338","10,062,338","10,062,338","17,281,455","17,281,455","17,281,455","16,400,366","16,400,366","16,400,366","2,400,750","2,400,750"
aFor,aFor,yellow,yellow,"pines,","pines,",tree,grade,is,based,on,“Southern,“Southern,“Southern,Pine,Tree,Grades,Grades,for,Yard,,and,Structural,Structural,Structural,"Lumber,”","Lumber,”",Research,Research,Paper,Paper,"SE-40,","SE-40,",published,published,by
the,the,Southeastern,Southeastern,Southeastern,Forest,Forest,Experiment,Experiment,"Station,","Station,","Asheville,","Asheville,","Asheville,","NC,","NC,",1968.,Tree,grade,grade,4,does,does,not,apply,to,yellow,pine.,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,For,other,other,softwoods,softwoods,(excluding,(excluding,"cypress),","cypress),","cypress),",tree,grade,grade,is,based,on,“Tree,Grades,Grades,Grades,for,Eastern,Eastern,White,White,"Pine,”",Research,Research,Paper,Paper,"NE-214,","NE-214,",published,published,published
by,the,Northeastern,Northeastern,Northeastern,Northeastern,Forest,Experiment,Experiment,Experiment,"Station,","Station,","Radnor,","Radnor,","PA,","PA,",1971.,,,,,,,,,,,,,,,,,,,
cFor,cFor,hardwoods,hardwoods,and,and,"cypress,",tree,tree,grades,"1,","2,",and,3,are,based,on,"""Hardwood","""Hardwood",Tree,Tree,Grades,Grades,for,Factory,Factory,"Lumber,”","Lumber,”",Research,Research,Research,Paper,"NE-333,","NE-333,","NE-333,",
published,published,published,by,the,Northeastern,Northeastern,Northeastern,Forest,Forest,Experiment,Experiment,"Station,","Station,","Station,","Radnor,","Radnor,","PA,",1976.,,Grade,,4,trees,are,sawtimber,sawtimber,trees,not,not,qualifying,qualifying,qualifying,as,tree,
grades,grades,"1,","2,",or,3.,The,butt,log,of,these,trees,qualify,qualify,qualify,as,construction,construction,construction,(tie,and,timber),timber),timber),logs,based,on,“A,Guide,to,Hardwood,Hardwood,Hardwood,Log,Grading,Grading
"(revised),”","(revised),”","(revised),”","(revised),”",General,General,Technical,Technical,Report,Report,"NE-1,",published,published,published,by,the,Northeastern,Northeastern,Northeastern,Forest,Forest,Experiment,Experiment,Experiment,"Station,","Station,","Radnor,","Radnor,","PA,",1971.,1971.,,,,,
