Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”
Fairfax,Fairfax,,,"3,062",,191,191,85,,916,,"1,870",,"15,102","15,102",732,,386,"4,731","9,253"
Fauquier,Fauquier,,,"7,764",,"1,231","1,231",211,,"2,499",,"3,823",,"37,111","37,111","5,040",,260,"12,716","19,095"
Floyd,,,,"7,990",,374,374,"3,484",,"1,869",,"2,263",,"39,399","39,399",719,,"22,683","6,046","9,951"
Fluvanna,Fluvanna,,,"8,700",,"3,973","3,973",13,,"1,668",,"3,046",,"25,635","25,635","10,548",,--,"6,050","9,037"
Franklin,Franklin,,,"18,415",,"2,946","2,946",965,,"8,137",,"6,367",,"77,181","77,181","10,019",,"3,953","37,063","26,146"
Frederick,Frederick,Frederick,,"4,196",,190,190,226,,"1,218",,"2,562",,"20,229","20,229",996,,"1,347","3,446","14,440"
Giles,,,,"6,710",,106,106,249,,"2,107",,"4,248",,"30,834","30,834",588,,"1,284","11,240","17,722"
Gloucester,Gloucester,Gloucester,,"8,066",,"3,696","3,696",10,,"2,443",,"1,917",,"31,426","31,426","12,936",,--,"10,033","8,457"
Goochland,Goochland,Goochland,,"8,320",,"2,784","2,784",56,,"2,419",,"3,061",,"37,099","37,099","7,888",,--,"13,141","16,070"
Grayson,Grayson,,,"7,171",,205,205,"2,533",,"1,783",,"2,650",,"39,059","39,059",299,,"14,412","9,096","15,252"
Greene,Greene,,,"2,913",,768,768,88,,998,,"1,059",,"15,516","15,516","4,274",,351,"4,650","6,241"
Greenville,Greenville,Greenville,,"9,082",,"3,798","3,798",91,,"2,979",,"2,214",,"31,249","31,249","10,179",,409,"8,822","11,839"
Halifax,Halifax,,,"21,599",,"9,892","9,892",229,,"5,830",,"5,648",,"85,670","85,670","36,027",,43,"19,505","30,095"
Hampton,Hampton,,,400,,,--,--,,115,,285,,"1,385","1,385",--,,--,384,"1,001"
Hanover,Hanover,,,"13,261",,"6,114","6,114",--,,"3,594",,"3,553",,"46,130","46,130","20,260",,--,"12,029","13,841"
Henrico,Henrico,,,"4,121",,986,986,,,"1,340",,"1,770",,"12,187","12,187","4,488",,--,"2,515","5,184"
Henry,,,,"10,242",,"4,838","4,838",989,,"2,061",,"2,354",,"26,765","26,765","10,778",,"3,909","5,562","6,516"
Highland,Highland,,,"7,630",,189,189,"1,588",,"1,207",,"4,646",,"31,168","31,168",966,,"4,363","4,144","21,695"
Isle,of,Wight,,"6,250",,"2,720","2,720",--,,"2,211",,"1,319",,"22,873","22,873","9,143",,--,"8,032","5,698"
James,City,City,,"4,628",,"1,820","1,820",--,,"1,285",,"1,523",,"18,094","18,094","7,010",,--,"4,754","6,330"
King,and,Queen,,"11,896",,"6,865","6,865",74,,"2,631",,"2,326",,"40,566","40,566","22,759",,459,"8,441","8,907"
King,George,George,,"4,560",,447,447,14,,"2,664",,"1,435",,"23,346","23,346","2,876",,140,"14,299","6,031"
King,William,William,,"8,283",,"5,122","5,122",--,,"1,629",,"1,532",,"26,310","26,310","14,959",,--,"4,623","6,728"
,,,,,,,,,,,,,,,,,,,,Continued
