Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”
Tazewell,Tazewell,,,"207,871","207,871",,--,"11,326","11,326",,"56,629",,"121,332",,"18,584"
Virginia,Virginia,Beach,,"36,581","36,581",,--,,--,,"5,383",,"16,801",,"14,397"
Warren,,,,"64,311","64,311",,--,,--,,"9,324",,"45,378",,"9,609"
Washington,Washington,Washington,,"189,398","189,398",,--,"10,352","10,352",,"51,760",,"113,765",,"13,521"
Westmoreland,Westmoreland,Westmoreland,,"74,248","74,248",,--,"2,554","2,554",,"26,430",,"40,156",,"5,108"
Wise,,,,"178,114","178,114",,--,,--,,"36,401",,"141,563",,150
Wythe,,,,"140,921","140,921","6,994","6,994","4,517","4,517",,"4,313",,"79,883",,"45,214"
York,,,,"28,849","28,849",,--,,--,,"16,154",,"11,282",,"1,413"
Total,,,,"15,447,550","15,447,550","144,645","144,645","419,272","419,272","3,297,378","3,297,378","9,542,524","9,542,524","2,043,731",
,,,,,,,,,,,,,,,27
