Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”
Virginia,Virginia,pine,pine,,,"2,484,901","2,484,901",,"59,761","203,083","453,106","453,106","590,920","545,715","545,715","374,608","374,608","175,077","175,077","59,899","19,710","2,042",980,,--
Pitch,pine,pine,,,,"295,019","295,019",,"2,701","5,569","12,654","12,654","35,802","53,297","53,297","71,731","71,731","60,263","60,263","29,122","14,660","7,384","1,836",,--
Table,Mountain,Mountain,Mountain,pine,,"162,095","162,095",,"1,636","4,218","16,199","16,199","34,856","36,517","36,517","31,625","31,625","24,894","24,894","9,989","1,142","1,019",--,,--
Spruce,,pine,,,,,--,,--,--,,--,--,,--,,--,,--,--,--,--,--,,--
Sand,pine,,,,,,--,,--,--,,--,--,,--,,--,,--,--,--,--,--,,--
Eastern,Eastern,white,white,pine,,"857,788","857,788",,"21,574","44,987","60,372","60,372","87,161","105,248","105,248","93,250","93,250","85,599","85,599","106,116","81,950","73,707","91,021","6,803","6,803"
Eastern,Eastern,hemlock,hemlock,hemlock,,"220,734","220,734",,"6,174","15,495","20,191","20,191","22,702","19,494","19,494","23,516","23,516","14,332","14,332","20,840","13,475","13,592","29,151","21,772","21,772"
Spruce,,and,fir,,,,"4,685",,323,--,,--,754,,--,"2,672","2,672",,936,--,--,--,--,,--
Baldcypress,Baldcypress,Baldcypress,,,,,"49,463",,--,-—,965,965,--,"1,501","1,501","1,965","1,965","5,474","5,474","4,528","5,239","6,163","12,466","11,162","11,162"
Pondcypress,Pondcypress,Pondcypress,,,,,"12,941",,--,--,,--,250,,--,748,748,,--,"1,761",852,"1,704","4,040","3,586","3,586"
Cedars,,,,,,"227,388","227,388",,"34,878","58,901","65,605","65,605","30,115","17,902","17,902","9,830","9,830","5,406","5,406","4,751",--,--,--,,--
,Total,softwoods,softwoods,softwoods,,"8,876,549","8,876,549",,"206,252","618,989","1,346,427","1,346,427","1,748,702","1,565,351","1,565,351","1,225,921","1,225,921","789,075","789,075","531,723","330,183","222,055","246,357","45,514","45,514"
Hardwood,,,,,,,,,,,,,,,,,,,,,,,,,
Select,,white,oaks,oaks,,"3,955,168","3,955,168",,"57,231","132,207","276,906","276,906","358,473","521,549","521,549","551,112","551,112","523,955","523,955","481,983","347,309","242,103","385,868","76,472","76,472"
Select,,red,oaks,,,"2,009,500","2,009,500",,"19,791","55,391","83,260","83,260","104,807","160,950","160,950","211,113","211,113","230,945","230,945","230,288","208,612","185,934","417,124","101,285","101,285"
Chestnut,Chestnut,oak,,,,"3,626,586","3,626,586",,"22,809","107,656","243,221","243,221","434,819","476,564","476,564","484,046","484,046","446,067","446,067","352,790","335,599","224,836","412,547","85,632","85,632"
Other,white,white,oaks,oaks,,"170,193","170,193",,"6,216","10,264","9,862","9,862","26,014","26,297","26,297","23,676","23,676","20,207","20,207","16,890","10,898","7,062","8,035","4,772","4,772"
Other,red,oaks,oaks,,,"3,726,920","3,726,920",,"81,093","144,607","274,042","274,042","403,761","508,918","508,918","493,344","493,344","509,630","509,630","414,535","333,346","207,162","325,158","31,324","31,324"
Hickory,Hickory,,,,,"1,802,464","1,802,464",,"55,836","100,834","150,517","150,517","217,026","263,181","263,181","269,710","269,710","234,876","234,876","184,638","124,721","88,077","102,822","10,226","10,226"
Yellow,,birch,,,,,"26,130",,908,496,"3,112","3,112",919,"5,209","5,209",,--,"4,051","4,051",972,"2,125","2,985","5,353",,--
Hard,maple,maple,,,,"400,154","400,154",,"18,928","34,530","45,598","45,598","46,488","43,430","43,430","40,573","40,573","47,728","47,728","35,835","22,829","19,508","35,232","9,475","9,475"
Soft,maple,maple,,,,"2,954,146","2,954,146",,"287,225","393,667","414,028","414,028","388,635","337,109","337,109","332,321","332,321","276,267","276,267","170,056","118,989","92,467","121,621","21,761","21,761"
Beech,,,,,,"829,723","829,723",,"27,995","32,968","42,571","42,571","58,230","68,190","68,190","89,153","89,153","97,941","97,941","96,834","100,437","67,601","128,511","19,292","19,292"
Sweetgum,Sweetgum,,,,,"1,445,193","1,445,193",,"110,423","168,396","165,673","165,673","186,734","204,628","204,628","174,433","174,433","156,121","156,121","101,658","56,554","42,666","65,722","12,185","12,185"
Tupelo,,and,blackgum,blackgum,,"901,414","901,414",,"109,612","104,383","97,123","97,123","94,368","114,679","114,679","114,008","114,008","74,215","74,215","65,175","38,089","26,412","43,238","20,112","20,112"
Ash,,,,,,"540,333","540,333",,"22,968","44,550","61,497","61,497","59,184","70,056","70,056","70,221","70,221","55,743","55,743","47,688","32,790","31,260","31,607","12,769","12,769"
Cottonwood,Cottonwood,Cottonwood,,,,,"3,792",,--,226,,--,--,"1,600","1,600",932,932,,--,--,--,--,"1,034",,--
Basswood,Basswood,,,,,"223,528","223,528",,"2,093","3,865","10,057","10,057","17,192","24,301","24,301","30,792","30,792","28,598","28,598","33,305","24,373","16,257","21,630","11,065","11,065"
Yellow-poplar,Yellow-poplar,Yellow-poplar,Yellow-poplar,,,"4,310,107","4,310,107",,"72,524","172,206","228,117","228,117","315,369","415,830","415,830","586,767","586,767","612,013","612,013","612,040","463,323","327,553","437,121","67,244","67,244"
Bay,and,magnolia,magnolia,magnolia,,,"81,126",,"8,533","8,307","9,750","9,750","9,677","19,234","19,234","6,386","6,386","9,592","9,592","4,482",760,--,"4,405",,--
Black,cherry,cherry,,,,"223,979","223,979",,"37,102","39,836","28,231","28,231","22,432","17,129","17,129","23,975","23,975","16,514","16,514","12,662","10,869","1,969","9,792","3,468","3,468"
Black,walnut,walnut,,,,"182,884","182,884",,739,"6,645","10,502","10,502","17,733","30,996","30,996","24,445","24,445","32,843","32,843","17,398","11,168","16,636","10,924","2,855","2,855"
Sycamore,Sycamore,,,,,"212,236","212,236",,"3,852","9,377","9,191","9,191","20,386","16,904","16,904","22,713","22,713","17,139","17,139","28,544","24,716","17,923","33,301","8,190","8,190"
Black,locust,locust,,,,"450,896","450,896",,"14,868","27,450","47,896","47,896","42,279","81,408","81,408","78,870","78,870","58,702","58,702","42,583","27,853","14,568","14,419",,--
Elm,,,,,,"197,609","197,609",,"12,807","21,271","33,540","33,540","25,797","26,106","26,106","26,019","26,019","14,020","14,020","11,964","9,012","4,630","10,559","1,884","1,884"
Other,eastern,eastern,eastern,,,,,,,,,,,,,,,,,,,,,,
,hardwoods,hardwoods,,,,"2,203,443","2,203,443",,"409,756","428,445","367,505","367,505","262,887","216,807","216,807","169,621","169,621","112,151","112,151","77,341","61,808","40,093","46,305","10,724","10,724"
,Total,hardwoods,hardwoods,hardwoods,,"30,477,524","30,477,524","1,383,309","1,383,309","2,047,577","2,612,199","2,612,199","3,113,210","3,651,075","3,651,075","3,824,230","3,824,230","3,579,318","3,579,318","3,039,661","2,366,180","1,677,702","2,672,328","510,735","510,735"
All,species,,,,,"39,354,073","39,354,073","1,589,561","1,589,561","2,666,566","3,958,626","3,958,626","4,861,912","5,216,426","5,216,426","5,050,151","5,050,151","4,368,393","4,368,393","3,571,384","2,696,363","1,899,757","2,918,685","556,249","556,249"
