Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”
Mecklenburg,Mecklenburg,,"8,406",,"4,524",166,,534,,"3,182",,"20,145","20,145","11,331",,- -,590,"8,224"
Middlesex,Middlesex,,"3,454",,"1,564",- -,,"1,890",,- -,,"9,417","9,417","2,537",,- -,"6,880",- -
Montgomery,Montgomery,,"2,500",,- -,--,,- -,,"2,500",,"9,567","9,567",- -,,- -,--,"9,567"
Nelson,,,"3,794",,268,- -,,"1,296",,"2,230",,"13,057","13,057",562,,- -,"5,295","7,200"
New Kent,,,"8,980",,"6,463",- -,,"1,298",,"1,219",,"28,970","28,970","20,246",,- -,"4,540","4,184"
Newport,News,,251,,- -,- -,,- -,,251,,683,683,- -,,- -,- -,683
Northampton,Northampton,,"1,311",,962,,,178,,171,,"4,309","4,309","3,757",,- -,552,- -
Northumberland,Northumberland,,"4,786",,"1,156",- -,,961,,"2,669",,"21,155","21,155","6,098",,- -,"4,792","10,265"
Nottoway,,"11,549","11,549",,"10,755",- -,,140,,654,,"42,704","42,704","39,390",,- -,- -,"3,314"
Orange,,,"4,445",,302,- -,,534,,"3,609",,"16,563","16,563",596,,- -,"2,216","13,751"
Page,,,- -,,- -,,,- -,,- -,,,--,--,,- -,- -,- -
Patrick,,,"4,390",,803,777,,"1,942",,868,,"12,643","12,643",960,,"3,295","5,298","3,090"
Pittsylvania,Pittsylvania,"12,810","12,810",,"7,392",- -,,"2,610",,"2,808",,"44,576","44,576","24,742",,- -,"9,047","10,787"
Powhatan,,,"4,562",,"1,814",102,,735,,"1,911",,"10,847","10,847","4,022",,- -,875,"5,950"
Prince,Edward,,"7,131",,"1,830",- -,,"1,103",,"4,198",,"21,691","21,691","4,727",,- -,"4,869","12,095"
Prince,George,,"7,357",,"6,486",- -,,298,,573,,"21,741","21,741","18,607",,- -,"1,218","1,916"
Prince,William,,"4,230",,"1,048",58,,565,,"2,559",,"15,891","15,891","3,943",,- -,"1,782","10,166"
Pulaski,,,- -,,- -,,,- -,,--,,,--,--,,- -,- -,- -
Rappahannock,Rappahannock,,"1,679",,933,- -,,--,,746,,"6,713","6,713","3,320",,- -,- -,"3,393"
Richmond,,,"3,747",,"2,107",,,727,,913,,"13,063","13,063","7,641",,- -,"2,848","2,574"
Roanoke,,,"2,017",,--,- -,,310,,"1,707",,"4,997","4,997",--,,--,"1,406","3,591"
Rockbridge,Rockbridge,,"5,625",,"1,563",- -,,710,,"3,352",,"21,083","21,083","3,849",,- -,"2,695","14,539"
Rockingham,Rockingham,,"3,216",,--,539,,272,,"2,405",,"13,572","13,572",--,,"3,084","1,208","9,280"
Russell,,,"3,385",,- -,219,,368,,"2,798",,"14,344","14,344",--,,"1,331","1,067","11,946"
Scott,,,"3,150",,- -,--,,"2,043",,"1,107",,"10,008","10,008",___,,- -,"7,795","2,213"
Shenandoah,Shenandoah,,101,,- -,- -,,- -,,101,,305,305,- -,,- -,- -,305
Smyth,,"4,517","4,517",,"2,558",- -,,507,,"1,452",,"12,794","12,794","8,848",,- -,512,"3,434"
Southampton,Southampton,"21,613","21,613",,"8,221",85,,"6,451",,"6,856",,"77,199","77,199","32,633",,--,"20,452","24,114"
Spotsylvania,Spotsylvania,"10,194","10,194",,"6,835",- -,,"1,885",,"1,474",,"23,928","23,928","17,537",,--,"4,569","1,822"
Stafford,,,"3,262",,"2,729",- -,,397,,136,,"7,915","7,915","5,395",,- -,"1,973",547
Suffolk,,,"6,938",,"1,783",- -,,"4,027",,"1,128",,"28,349","28,349","7,574",,- -,"17,672","3,103"
Surry,,,"9,134",,"3,440",- -,,"1,201",,"4,493",,"38,034","38,034","16,328",,- -,"5,659","16,047"
Sussex,,"19,464","19,464",,"11,846",- -,,"3,556",,"4,062",,"62,777","62,777","43,389",,- -,"10,457","8,931"
Tazewell,,,"5,454",,- -,49,,"2,289",,"3,116",,"24,528","24,528",- -,,--,"11,056","13,472"
Virginia,Beach,"3,174","3,174",,603,- -,,"2,097",,474,,"11,527","11,527","3,499",,- -,"6,928","1,100"
Warren,,"3,178","3,178",,527,- -,,387,,"2,264",,"9,206","9,206","1,498",,- -,"1,838","5,870"
Washington,Washington,"2,822","2,822",,"1,011",325,,158,,"1,328",,"12,955","12,955","5,141",,"1,801",646,"5,367"
Westmoreland,Westmoreland,"3,773","3,773",,698,- -,,"1,159",,"1,916",,"15,500","15,500","2,578",,- -,"5,468","7,454"
Wise,,"11,459","11,459",,- -,- -,,"5,204",,"6,255",,"42,951","42,951",- -,,- -,"15,045","27,906"
Wythe,,,"1,694",,135,- -,,49,,"1,510",,"6,095","6,095",760,,- -,- -,"5,335"
York,,,49,,—,- -,,- -,,49,,,—,- -,,- -,- -,- -
Total,,"599,062","599,062","230,187","230,187","22,673",,"139,977",,"206,225",,"2,019,344","2,019,344","734,348","108,164","108,164","481,697","695,135"
